State,UNITID,men_total,women_total,Total,MURD15,NEG_M15,RAPE15,FONDL15,INCES15,STATR15,ROBBE15,BURGLA15,VEHIC15,ARSON15,TOTAL15,MURD16,NEG_M16,RAPE16,FONDL16,INCES16,STATR16,ROBBE16,AGG_A16,BURGLA16,VEHIC16,ARSON16,TOTAL16,MURD17,NEG_M17,RAPE17,FONDL17,INCES17,STATR17,ROBBE17,AGG_A17,BURGLA17,VEHIC17,ARSON17,TOTAL17,PERSONAL17,PROPERTY17,lat,long,name,Rating,Qcrime,Overall Crime Rate,Personal Crime Rate,Property Crime Rate,Crime Rate 2017,Crime Rate 2016,Crime Rate 2015
AK,43663,106070,130776,236846,0,0,5,5,0,0,0,17,7,1,38,0,0,14,3,0,0,3,3,10,17,2,52,0,0,10,7,0,0,0,5,4,15,1,42,22,20,64.0685,-152.2782,Alaska,5 stars,236.846,0.177330417,0.0928873614078346,0.0844430558253042,0.177330417,0.219551945,0.160441806
AL,319024,439574,501626,941200,0,0,54,16,0,1,30,270,34,5,474,0,0,59,22,0,2,26,56,255,36,9,465,1,0,79,32,0,0,20,56,234,54,5,481,168,313,32.7794,-86.8287,Alabama,4 stars,941.2,0.511049724,0.17849553761156,0.332554186145346,0.511049724,0.494050149,0.50361241
AR,340081,172017,224460,396477,0,0,32,24,0,1,9,125,64,1,279,0,0,29,17,0,0,10,28,125,63,7,279,0,0,51,26,0,0,17,22,109,76,6,307,99,208,34.8938,-92.4426,Arkansas,3 stars,396.477,0.774319822,0.2496992259324,0.524620595898375,0.774319822,0.703697819,0.703697819
AZ,871651,992390,1386867,2379257,1,0,54,36,0,1,7,147,76,4,356,0,0,67,45,0,2,13,38,156,72,7,400,0,0,93,39,0,1,19,37,181,70,3,443,170,273,34.2744,-111.6602,Arizona,5 stars,2379.257,0.18619258,0.0714508773116986,0.114741702977022,0.18619258,0.168119711,0.149626543
CA,4472814,3395377,4050042,7445419,3,0,363,345,0,21,158,1360,680,72,3287,5,0,396,324,0,14,151,248,1388,822,71,3419,0,0,424,436,0,12,164,229,1429,691,110,3495,1101,2394,37.1841,-119.4696,California,1 star,7445.419,0.46941616,0.147876163853236,0.32153999660731,0.46941616,0.459208542,0.441479519
CO,615237,350477,444205,794682,0,0,84,58,0,0,16,134,101,16,439,0,0,113,51,0,0,16,40,164,113,21,518,0,0,93,71,0,0,18,37,170,103,21,513,201,312,38.9972,-105.5478,Colorado,3 stars,794.682,0.645541235,0.252931361223735,0.392609874138335,0.645541235,0.65183306,0.552422227
CT,360290,159693,196655,356348,0,0,132,49,0,0,19,227,43,12,519,0,0,131,55,0,2,15,21,210,25,7,466,0,0,114,45,0,0,11,23,152,32,12,389,182,207,41.6219,-72.7273,Connecticut,3 stars,356.348,1.091629531,0.510736695589704,0.580892835093785,1.091629531,1.30771044,1.456441456
DE,126939,95429,153933,249362,0,0,28,12,0,0,10,34,4,3,107,0,0,11,9,0,0,4,20,24,4,3,75,0,0,14,8,0,35,8,7,24,2,5,103,64,39,38.9896,-75.505,Delaware,2 stars,249.362,0.413054114,0.256654983517938,0.156399130581243,0.413054114,0.300767559,0.429095051
FL,3273706,2720491,3650150,6370641,0,0,134,69,0,1,62,392,216,11,961,0,0,144,77,0,3,54,101,397,204,9,989,1,0,172,81,0,3,64,123,339,205,6,994,380,614,28.6305,-82.4497,Florida,4 stars,6370.641,0.156028255,0.0596486287643583,0.0963796264771473,0.156028255,0.155243405,0.150848243
GA,1839608,841665,1156688,1998353,3,0,98,63,0,3,61,331,115,2,733,0,0,118,59,0,0,57,67,345,97,11,754,1,0,129,68,0,0,39,52,385,82,7,763,250,513,32.6415,-83.4426,Georgia,4 stars,1998.353,0.381814424,0.125103022338896,0.256711401839415,0.381814424,0.377310715,0.366802061
